Video_ID	showup	smile_duration	duration	smile_proportion
1006314	0	0.0	0.0	0.0
1011058	1	0.0	11.0	0.0
1018380	0	0.0	0.0	0.0
1020088	0	0.0	0.0	0.0
1021760	0	0.0	0.0	0.0
1022108	0	0.0	0.0	0.0
1024862	1	0.0	41.0	0.0
1028030	1	5.0	11.0	0.45454545454545453
1030976	0	0.0	0.0	0.0
1035472	1	54.0	95.0	0.5684210526315789
1046306	1	12.0	154.0	0.07792207792207792
1046724	1	23.0	23.0	1.0
1051430	0	0.0	0.0	0.0
1053272	1	7.0	51.0	0.13725490196078433
1053462	1	16.0	16.0	1.0
1057242	0	0.0	0.0	0.0
1062092	0	0.0	0.0	0.0
1070968	1	0.0	45.0	0.0
1073430	1	16.0	149.0	0.10738255033557047
1078520	1	11.0	106.0	0.10377358490566038
1091206	1	1.0	166.0	0.006024096385542169
1095116	1	14.0	91.0	0.15384615384615385
109988	1	2.0	32.0	0.0625
1100054	0	0.0	0.0	0.0
1100504	1	0.0	124.0	0.0
1100510	1	1.0	72.0	0.013888888888888888
1102462	0	0.0	0.0	0.0
1107954	1	0.0	47.0	0.0
1110470	1	0.0	11.0	0.0
1113822	1	0.0	28.0	0.0
1125506	1	83.0	153.0	0.5424836601307189
1131280	0	0.0	0.0	0.0
1136912	1	6.0	73.0	0.0821917808219178
1138208	1	5.0	125.0	0.04
1154162	0	0.0	0.0	0.0
116128	0	0.0	0.0	0.0
1162298	0	0.0	0.0	0.0
1170626	0	0.0	0.0	0.0
1172716	1	0.0	54.0	0.0
1182080	0	0.0	0.0	0.0
1185108	1	0.0	48.0	0.0
1187084	0	0.0	0.0	0.0
1188230	1	20.0	68.0	0.29411764705882354
1188236	1	5.0	56.0	0.08928571428571429
1200206	0	0.0	0.0	0.0
1200484	1	2.0	59.0	0.03389830508474576
1202988	1	8.0	47.0	0.1702127659574468
1208856	1	2.0	138.0	0.014492753623188406
1210588	0	0.0	0.0	0.0
121372	0	0.0	0.0	0.0
1218552	0	0.0	0.0	0.0
1218896	0	0.0	0.0	0.0
1220862	1	7.0	116.0	0.0603448275862069
1221004	1	3.0	48.0	0.0625
1223900	1	13.0	200.0	0.065
1224262	0	0.0	0.0	0.0
1233350	1	6.0	92.0	0.06521739130434782
1233778	1	15.0	100.0	0.15
1252312	1	1.0	61.0	0.01639344262295082
1252816	0	0.0	0.0	0.0
1263966	0	0.0	0.0	0.0
1265646	0	0.0	0.0	0.0
1267860	1	6.0	99.0	0.06060606060606061
1273030	1	0.0	239.0	0.0
1276364	1	52.0	181.0	0.287292817679558
1282106	0	0.0	0.0	0.0
1282650	1	0.0	102.0	0.0
1284012	1	22.0	23.0	0.9565217391304348
1284912	1	2.0	105.0	0.01904761904761905
1285950	1	0.0	10.0	0.0
1300788	0	0.0	0.0	0.0
1301132	1	9.0	93.0	0.0967741935483871
1301302	1	34.0	75.0	0.4533333333333333
1302322	1	0.0	116.0	0.0
130298	1	0.0	16.0	0.0
1303001	0	0.0	0.0	0.0
1309874	1	57.0	250.0	0.228
1313406	1	24.0	24.0	1.0
1316818	1	31.0	285.0	0.10877192982456141
1317578	1	1.0	55.0	0.01818181818181818
1318638	0	0.0	0.0	0.0
1319136	0	0.0	0.0	0.0
1320968	0	0.0	0.0	0.0
1322900	0	0.0	0.0	0.0
1326708	1	0.0	169.0	0.0
1327966	1	0.0	11.0	0.0
1329178	0	0.0	0.0	0.0
1333462	1	30.0	136.0	0.22058823529411764
1333638	1	16.0	16.0	1.0
1333646	1	18.0	18.0	1.0
133428	1	6.0	192.0	0.03125
1334808	1	0.0	133.0	0.0
1335422	0	0.0	0.0	0.0
1338478	1	0.0	11.0	0.0
1342930	0	0.0	0.0	0.0
1345142	1	0.0	63.0	0.0
1345224	1	77.0	134.0	0.5746268656716418
1345598	1	0.0	27.0	0.0
1346028	0	0.0	0.0	0.0
1349152	1	6.0	141.0	0.0425531914893617
