Video_ID	showup	asymmetry
1006314	0	
1011058	1	0.29347422906992277
1018380	0	
1020088	0	
1021760	0	
1022108	0	
1024862	1	0.28217089719854
1028030	1	0.3690752710830218
1030976	0	
1035472	1	0.6365220571097733
1046306	1	0.6803633553303797
1046724	1	0.10335381375105071
1051430	0	
1053272	1	0.6502951524481847
1053462	1	1.3257621604599692
1057242	0	
1062092	0	
1070968	1	0.07956640383856127
1073430	1	0.6641472139637782
1078520	1	0.5220483683195442
1091206	1	0.42281805551204976
1095116	1	0.7013778253467368
109988	1	0.9645754642419453
1100054	0	
1100504	1	0.8245622465301762
1100510	1	0.6698664385440252
1102462	0	
1107954	1	0.5006197404662622
1110470	1	0.5875411183013315
1113822	1	1.284617152268232
1125506	1	0.4098073548479566
1131280	0	
1136912	1	0.6613026147533732
1138208	1	0.5294229782594595
1154162	0	
116128	0	
1162298	0	
1170626	0	
1172716	1	0.8457160599626907
1182080	0	
1185108	1	0.10404299052240652
1187084	0	
1188230	1	0.9575576045236274
1188236	1	0.5473118765118286
1200206	0	
1200484	1	0.5967056430212853
1202988	1	0.8577735782388912
1208856	1	0.9173613864046987
1210588	0	
121372	0	
1218552	0	
1218896	1	0.3598146022544988
1220862	1	0.704675033501618
1221004	1	0.6769170108984764
1223900	1	0.6397242009860049
1224262	0	
1233350	1	0.8528926791789615
1233778	1	0.6762168379309621
1252312	1	0.4069275967400657
1252816	1	0.060435152825152806
1263966	0	
1265646	0	
1267860	1	0.7338256082834828
1273030	1	0.33277477153896073
1276364	1	0.8580085712020435
1282106	0	
1282650	1	0.8151149443917148
1284012	1	0.09138223414747192
1284912	1	0.4520943185783705
1285950	1	1.3463503700106938
1300788	1	0.9098872805902627
1301132	1	0.5407700159034513
1301302	1	0.8588352571720171
1302322	1	0.09839251903475328
130298	1	0.6915078181654223
1303001	0	
1309874	1	0.8980661760929263
1313406	1	0.08421874770872277
1316818	1	0.5725645494661384
1317578	1	0.7632306930118363
1318638	0	
1319136	1	0.28981924794519914
1320968	0	
1322900	0	
1326708	1	0.36957394999373094
1327966	1	0.7122336934981884
1329178	0	
1333462	1	0.765573183153754
1333638	1	1.2235073348070156
1333646	1	1.376174846723754
133428	1	0.738275139008872
1334808	1	0.2286566020708828
1335422	0	
1338478	1	0.6076422895767036
1342930	0	
1345142	1	0.44916535807896707
1345224	1	0.7410534196571645
1345598	1	0.5537007932840923
1346028	0	
1349152	1	0.7123829499484087
1349394	1	0.3174200809291322
1349672	1	0.8055729511178767
1350350	0	
1355782	0	
1356742	1	0.940243873666119
1360610	1	0.614541313858549
1362676	1	0.8408521405611477
1363174	0	
1368274	1	0.7574878749177429
1377098	1	1.2547855358718853
1381898	0	
1384082	1	0.5336298666331385
1388532	0	
1388706	1	0.8162015278901056
1391362	1	0.7919572619475468
1395988	1	0.2510547007725688
1400386	1	0.5950320382849416
1400902	1	1.0378635875711637
1401278	0	
1405120	1	0.0059218857422692565
1410116	1	0.7819490910074568
1413832	0	
1416724	1	0.6967785493645746
1418956	1	0.5467392719476065
1419424	1	0.86606287712311
1422012	1	0.5369783683653001
1422920	0	
1424568	0	
1426598	0	
1430666	0	
1450854	1	0.641822833135978
1452622	0	
145404	1	0.342884833208637
1455316	1	0.6023009242406552
1458300	1	0.0330641359110846
1458760	1	1.2106388848527658
1459548	1	0.6681515032289146
1461614	1	0.7476422849773686
1465626	1	0.7025876254846993
1469268	1	0.7830580714784796
1471502	1	0.5852635072813895
1472580	1	0.7723918145840607
1472624	1	0.14949658950293016
1472970	1	0.33354471475727065
1474372	1	0.7408919957699611
1485660	0	
1488874	1	0.5042845338392598
1489936	0	
149178	0	
1492688	1	0.8103001158902563
1497438	1	0.8293876269716733
1501272	0	
1513132	1	0.481480987864918
1513220	1	0.5841960890544909
1513436	1	0.37288220942774064
1521806	1	0.6472397000839624
1523014	1	0.5013582523235603
1524204	0	
1527712	0	
1529772	0	
1531082	1	0.46936515386299965
153210	0	
1533908	1	0.2864414125684286
1539736	1	0.854770025380747
1546132	1	0.7277686803391997
1547758	1	0.4803902412745571
1549364	0	
1552848	1	0.7832961214437146
1554244	1	0.16420499335606636
1556638	1	0.7171634341611044
1557242	1	0.2127264464189862
1559938	1	0.788973784927735
1560952	0	
1562686	1	0.3447141111262087
1562936	0	
1563408	1	0.633073426886982
1564910	0	
1565920	1	0.8585517237855375
1568142	0	
1569868	1	0.7495412526929465
1571788	0	
1576378	0	
1581730	1	0.7139047488756713
1586264	0	
158830	1	0.6181645037668231
1592366	0	
1595104	0	
160322	0	
1606448	1	0.8436592763737639
1607044	1	1.3474691808479784
1607526	1	0.10427075521599444
1614930	0	
1623098	1	0.7588039692290431
1624332	1	0.6952158685935297
1624750	1	0.70356586834799
1628882	1	0.5818331474497879
1629534	0	
1633068	1	0.44329126046442585
1635660	0	
1636324	0	
1637824	1	0.5557717043037306
1640530	1	0.6753216802490183
1640772	1	0.5817833915468468
1643336	0	
1644756	1	0.9513815709801204
1645996	1	0.8330963542175882
1647060	1	0.42528280745655994
1649392	1	0.7981890942003588
1663032	0	
1665514	1	0.5810474272774907
1670850	0	
1679576	1	1.3258255212970287
1687202	1	0.4924978572122157
1692098	1	0.2529731499359535
1697444	1	0.6820386586418234
1697736	1	1.3592880275914512
1700358	1	1.0423193174739984
1700904	1	0.7914762033092598
1701240	0	
1705404	1	0.10904004958753002
1712100	0	
1712752	1	0.614885601647257
1719914	1	0.4791923728140497
1726984	1	0.0956657490702063
1730136	1	0.5600995514565991
1738924	1	0.19491382196593096
1739174	1	0.0431553192689786
1742040	1	0.6659530406978112
1750986	0	
1751094	0	
1753904	0	
1778242	0	
1785552	1	0.25112388330279956
1793104	0	
1810786	1	0.7457578439990419
1817058	1	0.6166262176560587
1853968	1	0.2523032158442689
1860222	1	0.001501018747806298
1868702	0	
188418	0	
1892254	0	
1892272	1	1.2208319687268434
1898470	1	0.2624304959861372
1899814	0	
1900620	0	
1900628	0	
1906732	0	
1910506	1	0.7496485316704563
1913522	1	0.049631269689026765
1913642	1	0.36029040006119917
1922804	0	
1934778	1	0.25652101057554655
1939158	0	
1949606	0	
1949608	0	
1949620	0	
1958384	1	1.2658545420933698
1959622	0	
1981560	0	
1981720	0	
1981732	0	
1983860	0	
1989682	0	
1989694	0	
1989696	0	
1989698	0	
199136	0	
1994122	0	
1994178	1	0.7050499539145932
1999244	1	0.6064888632656679
2003212	0	
2004106	0	
2004120	0	
2004126	0	
2008984	1	0.3523412848917834
2016168	0	
20185	0	
2028610	1	0.6699889886931261
2029380	0	
2029564	0	
2036564	1	0.25468008984433554
203732	0	
2039738	1	0.9015194351221879
2057949	1	1.0245389509695548
2060525	1	0.1980128060123686
2060919	0	
206092	1	0.9656843565927451
2064303	1	0.9448991261262509
2066127	1	0.5958355436541434
2068153	1	0.9316777550769855
2069371	0	
2076168	1	0.760891606132928
2085058	1	0.3692060207554925
2085548	1	0.21201415968441475
2087328	0	
2087822	0	
2087826	0	
2087828	0	
2087832	0	
2089058	1	0.9539998977920744
2098560	1	0.6860248148878273
2099506	0	
2103046	1	0.8561031134210908
2104528	1	0.8098218468483007
2106840	0	
2107348	0	
2107420	1	0.8095014027068427
2137460	1	0.5896288027410956
2141442	0	
2154750	1	0.6422569446333273
215728	1	0.19458170453097776
2159486	0	
2161518	0	
2168512	1	0.9019379858248732
2189838	0	
2192940	1	0.7770921502188368
2193886	1	0.6980396517472716
2197582	1	0.5236096586639398
2200632	0	
2201790	1	0.23946069352166643
2206770	1	0.7107080962269083
2208714	1	0.7487038421317886
2208850	0	
2212620	0	
2221174	0	
2236494	1	0.8932796681316477
2239426	0	
2248828	0	
2254632	0	
2259500	0	
2265454	1	0.8033591652218801
2267290	0	
2269720	1	0.5850122478410563
2271686	0	
2274337	1	0.705419589900393
2276027	1	1.0986720482848766
2276171	1	0.25949704969343523
2276255	0	
2280316	1	0.7536399916019354
2280884	1	0.7087794083812099
2280894	0	
2284925	0	
2288029	1	0.11784823074428094
2290263	0	
2290947	1	1.2335659942487778
2292573	0	
2293141	1	1.0512131993793472
2301996	1	0.6533715864326444
2308176	0	
2313402	0	
2332830	1	0.46063433956939775
2334782	1	0.3393191416777478
233900	0	
2342680	1	0.7726791462445675
2343668	1	0.2471630237499873
2360884	0	
2362220	0	
2365720	0	
2369558	0	
2373572	1	0.302566129661673
2378378	0	
2379790	0	
2379796	0	
2390840	0	
240256	0	
2405380	0	
2410044	1	0.8458144957747423
2412820	1	0.25007572278052115
2418110	1	0.7508196151448847
2419864	1	0.1607418283789882
2424386	1	8.426971952626514e-05
2431422	0	
2431788	1	0.9514528536276111
2435368	0	
2436348	0	
2436568	0	
2450950	1	0.834115664074375
2465786	0	
2468770	1	0.9572701464118123
2475130	0	
2484866	1	3.9030484271541364e-06
24877	0	
2487946	0	
2493896	0	
2494054	0	
2495100	0	
249934	0	
2504702	0	
2512030	0	
2516506	1	1.1650467721178577
2522382	0	
2522946	0	
252396	0	
2540964	1	0.3944263487123213
2550757	1	0.26422392141633744
2551089	0	
2555800	0	
2563388	1	0.4005745842839862
2563584	0	
2564412	1	0.32180689235358406
2577854	0	
2595494	0	
