Video_ID	video_length
1329178	306.0
1022108	117.9
1188236	59.7
1051430	115.6
1333462	136.83333333333334
1100504	167.84
1208856	151.8
1282106	41.4
1046724	135.46666666666667
1046306	460.79412746079413
1053272	152.83333333333334
1317578	54.96666666666667
1345224	184.96666666666667
1100054	80.56
1131280	147.4
1162298	204.45833333333334
1172716	60.6272939606273
1107954	47.46666666666667
1073430	148.96666666666667
121372	407.56666666666666
1345142	216.9
1338478	10.066666666666666
1301302	85.0
1188230	68.26666666666667
1018380	143.10129220508546
1333646	108.1
1326708	211.4
1113822	124.47873227689742
130298	168.63333333333333
1091206	174.3
1333638	613.7
1202988	133.23333333333332
1263966	115.91666666666667
1267860	108.2
1334808	148.5
1024862	124.22538860103627
1125506	223.26666666666668
1062092	116.16666666666667
1020088	225.23333333333332
1302322	116.56666666666666
1006314	154.7
1185108	84.26666666666667
1309874	249.63333333333333
1221004	48.2
1078520	132.2655989322656
1282650	97.70642201834862
1301132	127.32732732732734
1318638	863.8
1100510	69.17945296864576
1313406	140.33333333333334
1102462	60.08
1223900	278.1333333333333
1030976	155.33333333333334
1316818	284.1333333333333
1218896	83.93333333333334
1210588	375.96666666666664
1095116	93.93333333333334
1284012	143.7
1285950	110.06666666666666
1070968	95.41666666666667
109988	61.2
1252816	158.06666666666666
1233350	99.3993993993994
1138208	148.3
1335422	149.16666666666666
1345598	27.733333333333334
1218552	77.0
1021760	149.76666666666668
1187084	105.08
1265646	81.875
1303001	39.6
1342930	634.8479786167725
1028030	50.813516896120156
133428	223.63333333333333
1320968	1064.0
1200206	190.03333333333333
1136912	88.68868868868869
1252312	62.6
1110470	149.2
1182080	159.4
1170626	84.375
1327966	76.93333333333334
1011058	86.0
1346028	115.43333333333334
1300788	150.86666666666667
1319136	140.66666666666666
1284912	126.86666666666666
1349152	230.63333333333333
1035472	153.23333333333332
1322900	90.0
1220862	115.46666666666667
1233778	141.23333333333332
116128	105.0
1273030	238.36666666666667
1053462	198.66666666666666
1154162	224.0
1276364	181.03333333333333
1057242	32.532532532532535
1224262	606.8666666666667
1200484	251.3
1349672	240.8
1474372	158.46666666666667
1418956	137.46666666666667
1513220	112.53333333333333
1455316	108.76666666666667
1363174	109.73333333333333
1529772	223.46666666666667
1576378	415.0
1413832	211.81181181181182
1557242	145.0
1362676	241.8
1492688	114.16666666666667
1400902	284.6
1501272	182.0
1533908	150.03333333333333
1595104	106.0
1458300	397.0
1569868	174.86666666666667
1521806	349.96666666666664
1552848	64.8
1559938	141.36666666666667
1472580	33.666666666666664
1565920	117.8
1549364	901.0
1368274	158.1
1497438	171.36666666666667
1614930	404.0
1527712	120.93333333333334
160322	295.97069597069594
1395988	129.66666666666666
1581730	129.96666666666667
1356742	126.03333333333333
1422012	148.3
1350350	38.86666666666667
1564910	315.0
1629534	41.96666666666667
1472970	200.63333333333333
1531082	118.96666666666667
1562936	544.3
1586264	396.3333333333333
1377098	125.1
1592366	370.0
1388532	584.7
1461614	126.96666666666667
1416724	822.9666666666667
1349394	100.54166666666667
1524204	317.96666666666664
1391362	118.2
1547758	176.63333333333333
1488874	208.27494160827496
1571788	437.0
1419424	42.63333333333333
1546132	155.8
1607044	149.0
1554244	97.03333333333333
1381898	62.4290957624291
1424568	237.93333333333334
1458760	537.3333333333334
1489936	130.03015075376885
1430666	117.7
1471502	106.36666666666666
1452622	150.0899830220713
1405120	74.06666666666666
1485660	61.233333333333334
1628882	431.93333333333334
1469268	214.46666666666667
1636324	140.53333333333333
1513132	190.96666666666667
1400386	176.1
1562686	102.3
1523014	129.86666666666667
1465626	203.53687020353686
1426598	115.86666666666666
1388706	105.43333333333334
1450854	92.36666666666666
1384082	155.73333333333332
1360610	134.9683016349683
1513436	350.96666666666664
1623098	147.4
1635660	461.0
1568142	448.96666666666664
149178	67.2
1410116	154.26666666666668
1472624	299.0
1607526	211.16666666666666
1355782	415.8333333333333
1560952	100.0
1563408	257.53333333333336
1633068	78.03333333333333
158830	317.1168
1624750	482.8333333333333
145404	115.8157
1459548	202.1
1539736	93.9
1624332	210.1
1606448	122.73333333333333
1422920	38.93333333333333
1401278	106.93333333333334
153210	132.8
1556638	115.4
2029564	382.8666666666667
1697444	85.76666666666667
1701240	339.0
2004120	42.2
1645996	151.16666666666666
2016168	621.8333333333334
1742040	89.7
1922804	144.33333333333334
2057949	47.96666666666667
2004106	79.9
1981560	279.9
1868702	359.96666666666664
1730136	28.233333333333334
20185	59.166666666666664
1751094	86.96666666666667
1810786	58.2
1705404	222.9
1989694	41.43333333333333
2087822	39.833333333333336
1640772	190.2
1817058	135.93333333333334
1793104	621.9666666666667
2085548	111.83333333333333
2039738	194.63333333333333
2087828	37.733333333333334
1700358	153.63333333333333
2029380	403.46666666666664
1981732	427.3
2085058	719.9666666666667
1994122	797.4333333333333
2028610	238.5
2060525	125.96666666666667
1649392	95.36666666666666
1899814	142.46666666666667
1739174	277.0
1785552	129.66666666666666
1959622	147.13333333333333
1753904	108.33333333333333
1643336	62.43333333333333
2087826	42.7
2087832	36.13333333333333
1989698	36.166666666666664
1692098	129.66666666666666
2036564	129.66666666666666
206092	70.96666666666667
2068153	37.733333333333334
1697736	74.66666666666667
1860222	293.06666666666666
2087328	113.0
1989696	36.53333333333333
1898470	197.36666666666667
1906732	512.4333333333333
1892272	167.23333333333332
1647060	105.03333333333333
1712752	124.36666666666666
1679576	193.66666666666666
2008984	125.53333333333333
1913642	197.63333333333333
1853968	1265.5333333333333
1934778	129.66666666666666
