Id,Title,Blurb,Category_A,Category_B,Category_C,Language,Length_of_Video,Marked_Price,Rating,Reviews_Num,Selling_Price,Students_Num,Students_of_Tch_1,Name_of_Tch_1,Courses_of_Tch_1,Reviews_of_Tch_1,Rating_of_Tch_1,Url
3399782,Xero UK - Accounting & Bookkeeping Essentials Course,Master Xero bookkeeping & accounting software in just a few hours with our complete Xero UK online training course,Finance & Accounting,Accounting & Bookkeeping,Xero,English,6 hours,84.99,4.6055255,165,14.99,551,5656,Mark Cunningham,9,1041,4.614416678,https://www.udemy.com/course/xero-uk-accounting-bookkeeping-online-training-course/
3633046,Ultimate Master Course for Technical Analysis,Learn Technical Analysis and Price Action Trading Strategies that work,Finance & Accounting,Investing & Trading,Technical Analysis,English,2 hours,19.99,4.8281364,163,14.99,3889,12477,Ultimate Masters Academy,4,297,4.287809759,https://www.udemy.com/course/ultimate-master-course-for-technical-analysis/
1581730,Algorithmic Trading Robots Without Programming (17 Hrs) MT5,Create Profitable Strategies based on the Algorithmic Trading. Learn to test & improve the odds of Algorithmic Trading,Finance & Accounting,Investing & Trading,Algorithmic Trading,English,17 hours,89.99,4.86528,162,15.99,33109,226121,Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide,51,5078,4.516906383,https://www.udemy.com/course/algo-trading/
1989696,Day Trading: Technical Analysis Mastery For Daily Profit,"Technical Analysis & Fibonacci Trading Hacks For Day Trading Stocks, Forex, Crypto, Options Trading & Financial Trading",Finance & Accounting,Investing & Trading,Day Trading,English,5.5 hours,84.99,4.079528,162,14.99,1403,193942,Wealthy Education,58,30496,4.348904056,https://www.udemy.com/course/technical-analysis-for-day-trading/
569436,How to Become an Accountant from scratch!,"Learn all the basic to advanced accounting concepts to ace the interview, pass the exam, or be a smarter entrepreneur!",Finance & Accounting,Accounting & Bookkeeping,Accounting,English,2 hours,19.99,4.198029,162,14.99,6354,31388,Financial Courses,4,2474,4.325693616,https://www.udemy.com/course/the-udemy-case-study/
1452622,Passive Income: 7 Ways To Make Passive Income Online  - 2018,"Have Successful Online Passive Income with Proven Models Like Affiliate, eBay Drop Shipping, Amazon Kindle E-Book & More",Finance & Accounting,Other Finance & Accounting,Passive Income,English,3 hours,84.99,3.6470542,161,14.99,11412,27358,Roi Business,8,564,4.04796122,https://www.udemy.com/course/earn-good-passive-income-quick-money-making-models-2018/
2718426,Tally ERP 9 Basic to Advance Training Course 2021,"Tally ERP 9 Basic to Advance Training Course 2021 Inventory, Production, Payroll, VAT, Cost Centres, Price List, Tax",Finance & Accounting,Accounting & Bookkeeping,ERP,English,6 hours,84.99,4.374591,161,14.99,621,13610,Accountech Training & Solutions,29,1577,4.334585624,https://www.udemy.com/course/tally-erp-9-basic-to-pro-training-course/
3457524,Options Trading in plain English for beginners,Learn basic to advanced Options Trading concepts and techniques in clear and simple terms,Finance & Accounting,Investing & Trading,Options Trading,English,22.5 hours,84.99,4.478818,161,14.99,1218,1449,Options in plain English,2,198,4.583832219,https://www.udemy.com/course/options-trading-in-plain-english-for-beginners/
1349672,DIY Advance Options Trading Strategies (5 Courses) 11 Hours,"Profitable Options Trading Strategies For Trading Stock Options, Call & Put Using Technical Analysis w/ Risk Management",Finance & Accounting,Investing & Trading,Options Trading,English,11 hours,84.99,4.72554,161,14.99,22036,226121,Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide,51,5078,4.516906383,https://www.udemy.com/course/options1/
1712100,"Stock Options Strategy: The CROC trade (low risk, pro level)","MYOPTIONSEDGE: A consistent and amazing strategy for monthly income VXX using options, protected from Vol explosions!",Finance & Accounting,Investing & Trading,Stock Options,English,1.5 hours,19.99,3.6192703,161,14.99,1043,2375,Pedro Branco,5,744,3.84990148,https://www.udemy.com/course/the-advanced-option-series-the-vxx-croc-trade/
