Video_ID	Name_of_Tch_1	gender
793550	Libby Seery Founder of Renaissance Life Therapies	female
2456222	Roger Kay Allen, Ph.D.	male
405576	Roger Kay Allen, Ph.D.	male
2751628	Roger Kay Allen, Ph.D.	male
3077862	Roger Kay Allen, Ph.D.	male
2297798	Roger Kay Allen, Ph.D.	male
2473210	Richard Boothman	male
1596336	Marshall Goldsmith	male
1269024	Richard Saunders	male
38034	Katya Seberson	female
250516	PAUL CASTRO	male
789884	PAUL CASTRO	male
688432	Ken Wells	male
594242	Ken Wells	male
916588	Ken Wells	male
508338	Ken Wells	male
762874	Ken Wells	male
660532	Ken Wells	male
801050	Ken Wells	male
929358	Ken Wells	male
1001736	Ken Wells	male
372570	Joel Widmer	male
189086	Joel Widmer	male
392584	Keith R. Holden, M.D.	male
1632674	Patrick Howell	male
2204132	Patrick Howell	male
286690	Patrick Howell	male
2072037	Patrick Howell	male
2625070	Patrick Howell	male
1156984	Patrick Howell	male
671208	Lecturio GmbH	male
671052	Lecturio GmbH	male
672308	Lecturio GmbH	male
3584534	Gayle Van Gils	female
2381730	Trace Crawford	male
2419270	Trace Crawford	male
2419258	Trace Crawford	male
2408956	Trace Crawford	male
942320	Tara Brach, Ph.D.	female
2155970	Tara Brach, Ph.D.	female
2240978	Josh Linkner	male
1540380	Dr. Claudia Winkler LL.M. (Harvard)	female
2254556	Dinesh Rathi	male
190894	Stacey Tallitsch	male
190868	Stacey Tallitsch	male
473944	Stacey Tallitsch	male
378838	Stacey Tallitsch	male
1718950	Stacey Tallitsch	male
376472	Derek Franklin	male
633976	Derek Franklin	male
552524	Derek Franklin	male
2341092	Stuart Lancaster	male
1721592	Dr. David J. Lieberman	male
1421014	Michael Neill	male
619260	Joseph Phillips	male
698200	Joseph Phillips	male
352838	Matt Wong	male
633084	Em Winn	female
1379800	PracticalGrowth	male
2397370	Jack Kornfield, Ph.D.	male
1612050	GB Voice Academy	male
1518060	Nader Nadernejad	male
619690	Keith Ferrazzi	male
640620	Cha~zay Sandhriel Ph.D.	female
1514262	Cha~zay Sandhriel Ph.D.	female
1521136	Cha~zay Sandhriel Ph.D.	female
1518236	Cha~zay Sandhriel Ph.D.	female
52253	Cha~zay Sandhriel Ph.D.	female
1021738	Cha~zay Sandhriel Ph.D.	female
657730	Sorin Dumitrascu	male
1541778	Sorin Dumitrascu	male
700868	Sorin Dumitrascu	male
588442	Sorin Dumitrascu	male
422306	Sorin Dumitrascu	male
471704	Sorin Dumitrascu	male
545668	Sorin Dumitrascu	male
475634	Sorin Dumitrascu	male
506948	Sorin Dumitrascu	male
464914	Sorin Dumitrascu	male
607072	Sorin Dumitrascu	male
434058	Sorin Dumitrascu	male
854182	Sorin Dumitrascu	male
3389606	Sorin Dumitrascu	male
847114	Sorin Dumitrascu	male
578928	Sorin Dumitrascu	male
664538	Sorin Dumitrascu	male
630582	Sorin Dumitrascu	male
1347644	Alain W.	male
1362338	Alain W.	male
1892676	Alain W.	male
2843526	Kenny Media	male
959706	Learnsector LLP	female
1418155	Chris Hall	male
1713366	Andre Erving	male
996352	Scott Greene	male
1102452	Marc LeFevre	male
3826536	Judith Young Comer	female
550604	Kevin Allison	male
1309904	Vertex Learning	male
1221446	Vertex Learning	male
1217488	Maggie Stara	female
1265890	Dan Jones	male
190852	Dan Jones	male
936876	Dan Jones	male
2879462	Ivan Wanis Ruiz	male
3227547	Ivan Wanis Ruiz	male
2355914	Andrew LeMasters	male
1183316	Carl Pullein	male
1209910	Carl Pullein	male
379706	Michael Hetherington	male
647506	Michael Hetherington	male
