Video_ID	showup	smile_duration	duration	smile_proportion
1001842	0			
1007674	1	598	5175	0.11555555555555555
1010296	1	2550	6025	0.42323651452282157
1010460	1	0	25085	0.0
1012066	1	0	9982	0.0
1013288	1	0	13777	0.0
1015186	0			
1015962	0			
1021738	1	1110	21060	0.05270655270655271
1022794	1	120	4020	0.029850746268656716
1025490	0			
1039124	1	2030	22475	0.09032258064516129
1045720	0			
1047330	0			
1054452	1	174	4147	0.04195804195804196
1059518	1	600	20790	0.02886002886002886
1062898	1	783	18879	0.041474654377880185
1065962	1	1403	14122	0.0993485342019544
1067526	1	60	19380	0.0030959752321981426
1077486	0			
1081340	1	60	11880	0.005050505050505051
1082736	1	1020	12000	0.085
1089368	1	19925	45400	0.43887665198237885
109852	1	1656	34392	0.04815073272854152
1102452	1	4620	13470	0.3429844097995546
1104838	1	290	580	0.5
1105892	1	87	25868	0.0033632286995515697
1107304	1	0	12000	0.0
1109748	1	60	11040	0.005434782608695652
1112734	1	0	16830	0.0
1114538	1	5250	21300	0.24647887323943662
1116388	1	29	986	0.029411764705882353
1119698	1	0	348	0.0
1121344	1	420	24480	0.01715686274509804
1122372	1	990	990	1.0
1123940	1	0	17429	0.0
1125316	1	1035	9269	0.11166253101736973
1125328	1	0	690	0.0
1130742	1	58	18038	0.003215434083601286
1132660	1	0	18090	0.0
1136898	1	522	40107	0.013015184381778741
1137678	1	2130	20700	0.10289855072463767
1141484	1	0	700	0.0
1149200	1	1175	6600	0.17803030303030304
1149896	1	0	5325	0.0
1151232	1	1200	9900	0.12121212121212122
1151744	1	29	22446	0.0012919896640826874
1153444	1	30	11310	0.002652519893899204
1156984	1	0	3540	0.0
1157648	1	3200	13200	0.24242424242424243
1167954	1	510	12300	0.041463414634146344
117100	1	0	1470	0.0
1173748	1	180	15600	0.011538461538461539
1174274	1	900	3390	0.26548672566371684
117662	1	203	20938	0.009695290858725761
1183316	1	725	45385	0.01597444089456869
1186734	1	58	19836	0.0029239766081871343
1192364	1	30	660	0.045454545454545456
1199794	1	825	12900	0.06395348837209303
1199916	1	87	348	0.25
120600	1	2162	11247	0.19222903885480572
1208168	1	928	15138	0.06130268199233716
1209910	1	0	15450	0.0
1210442	1	0	13369	0.0
1214140	0			
1214850	1	6600	15480	0.4263565891472868
1217488	1	6570	8850	0.7423728813559322
121950	1	576	9000	0.064
1222072	1	7425	15650	0.4744408945686901
1227630	1	25	10700	0.002336448598130841
1231042	1	736	5704	0.12903225806451613
1237338	1	30	900	0.03333333333333333
1241064	1	690	1200	0.575
1245026	1	240	16650	0.014414414414414415
1253348	0			
1254992	1	4150	17550	0.23646723646723647
1255070	1	2675	21075	0.1269276393831554
1258394	1	2525	16100	0.15683229813664595
1258434	1	1525	13275	0.11487758945386065
1258612	1	2625	17600	0.14914772727272727
1258674	1	2475	17675	0.14002828854314003
1258722	1	4234	11020	0.38421052631578945
1259306	1	2750	23850	0.11530398322851153
1265890	1	400	8175	0.04892966360856269
1266526	1	690	4920	0.1402439024390244
1269024	1	0	31890	0.0
