Video_ID	showup	asymmetry
1001842	0	
1007674	1	0.5576140611369969
1010296	1	0.9064278740023372
1010460	1	0.2677465034022233
1012066	1	0.17566659814218932
1013288	1	0.49455013684392307
1015186	0	
1015962	0	
1021738	1	0.9462181972198288
1022794	1	0.507104666756612
1025490	0	
1039124	1	0.7162578730888054
1045720	0	
1047330	0	
1054452	1	0.19053253778718907
1059518	1	0.48427165128603505
1062898	1	0.4176057172334838
1065962	1	0.632552445409048
1067526	1	0.4889383460442425
1077486	0	
1081340	1	0.4072164158761433
1082736	1	0.45081562821636395
1089368	1	0.8055698106960735
109852	1	0.6094245869616547
1102452	1	0.7940484317887002
1104838	1	0.47520349135462825
1105892	1	0.7816902889705151
1107304	1	0.318269797582654
1109748	1	0.3842825210725767
1112734	1	0.7132561742559221
1114538	1	0.3377566164977546
1116388	1	0.362466126199874
1119698	1	0.4008940957150568
1121344	1	0.6062300643946051
1122372	1	7.09537308464294e-05
1123940	1	0.09050359414729103
1125316	1	0.6400956943805877
1125328	1	0.40820792104115183
1130742	1	0.7326789953365596
1132660	1	0.8118348601374238
1136898	1	0.8951439937644492
1137678	1	0.6280023426352778
1141484	1	0.8788907567793791
1149200	1	0.6860001858305916
1149896	1	0.6248556446813994
1151232	1	0.9080911473039905
1151744	1	0.4519853602216827
1153444	1	0.6047221218218185
1156984	1	0.7086576080421731
1157648	1	0.8703915873963922
1167954	1	0.6997254620441298
117100	1	0.021404864626677518
1173748	1	0.13850623489095146
1174274	1	0.4984216427856981
117662	1	0.8504987468775922
1183316	1	0.43608549341315883
1186734	1	0.34283452070246806
1192364	1	1.148295749111391
1199794	1	0.5517406988940942
1199916	1	0.282585689692417
120600	1	0.4257693490103454
1208168	1	0.5824641884826863
1209910	1	0.45310122355095045
1210442	1	0.6623610126973825
1214140	0	
1214850	1	0.7257215644477565
1217488	1	0.6326100503644836
121950	1	0.5783112470662666
1222072	1	0.6880337569954902
1227630	1	0.6807803484738324
1231042	1	0.47042594890290085
1237338	1	0.8009179135186351
1241064	1	1.0664829930303088
1245026	1	0.34407203159675565
1253348	0	
1254992	1	0.4083063177338739
1255070	1	0.3631135064981278
1258394	1	0.3733495865555051
1258434	1	0.42635419205315195
1258612	1	0.3139143591538686
1258674	1	0.42274239712842837
1258722	1	0.5275080475511643
1259306	1	0.2968283410168722
1265890	1	1.0413144056703865
1266526	1	0.48116992883850873
1269024	1	0.061896082038225
1272256	1	0.7865227872886928
1275936	1	1.315530270007793
1278936	1	0.4200617591432956
1279140	1	0.7252082564936194
1279268	1	0.8378390587396171
1280280	1	0.7716577582810771
1284952	1	0.34130095873445515
128544	1	0.54753995841631
1287854	1	0.6011223851739805
1290466	1	0.6270416752301393
1292182	1	0.7118545649471947
1295932	1	0.6345735794485805
1296322	1	0.5120479045670095
1299614	1	0.7691254913470115
1302526	1	0.6080601785537795
1303550	1	0.22708476146308432
1305520	1	0.6279200754911782
1308482	1	0.9956527358684667
1309582	1	0.39390203307963806
1309904	1	0.8320423852222283
1311926	1	0.30870483380495045
1312698	1	0.6094036999130041
1315046	1	0.1644263327315357
1317082	1	0.672056469825585
1317320	1	0.7828608221307072
1321586	0	
1323106	0	
1323892	1	0.581852780608251
1324270	1	0.7089466159873081
1326766	0	
1327236	1	0.4736829825581643
1328588	1	0.907399938938268
1329878	1	0.9228333649279034
1330228	1	0.679022684681238
1332992	1	0.5266935535096913
1337550	1	0.4736594360208088
1340894	1	0.4580752299051235
1341612	1	0.7401494545828713
1341646	1	0.7666915047483551
1343832	1	0.0854526052259637
1344746	1	0.6904747539793044
1347644	1	0.7007445371014609
1348858	1	0.32035919087268866
1349678	0	
1349980	1	0.43039827503621647
1350060	1	0.745413512778751
1350272	1	0.2692007890705009
135046	1	0.4251236869107012
1351646	1	0.6087672577185473
1352554	0	
1356614	1	0.9781911039289468
1362338	1	0.6690330284394367
1365318	1	0.7868412480308713
1379586	1	0.34209645307079023
1379800	1	1.0560597779955563
1382426	0	
