Video_ID	showup	Intensity
1001842	0	
1007674	1	0.4685943606400001
1010296	1	0.38423429323651476
1010460	1	0.5261151582312137
1012066	1	0.4154724197235019
1013288	1	0.30434967277128583
1015186	0	
1015962	0	
1021738	1	0.5197241859601139
1022794	1	0.18895541179850747
1025490	0	
1039124	1	0.5701477506322582
1045720	0	
1047330	0	
1054452	1	0.4813894697202798
1059518	1	0.23147138004473294
1062898	1	0.19742249563809522
1065962	1	0.4340131970260586
1067526	1	0.5351220202058825
1077486	0	
1081340	1	0.692213811391415
1082736	1	0.3938012239175003
1089368	1	0.2950684195709245
109852	1	0.4216808139595258
1102452	1	0.3417531243697105
1104838	1	0.25080578130000003
1105892	1	0.5690027387892378
1107304	1	0.44356715607500063
1109748	1	0.30875681440217406
1112734	1	0.32510940089839546
1114538	1	0.248566500612676
1116388	1	0.19432479911764702
1119698	1	0.16186744666666666
1121344	1	0.6794604747303933
1122372	1	0.8051970003030302
1123940	1	0.49597471715474184
1125316	1	0.299527846816377
1125328	1	0.3282472195652174
1130742	1	0.4180899695016072
1132660	1	0.357375246562189
1136898	1	0.4607469422747658
1137678	1	0.2908884976985511
1141484	1	0.18901934624999997
1149200	1	0.35394949720075736
1149896	1	0.4473124325211266
1151232	1	0.3658993553156563
1151744	1	0.18724124438708017
1153444	1	0.35120211657824946
1156984	1	0.7816486118644066
1157648	1	0.24733198274185617
1167954	1	0.401524505543903
117100	1	0.9439190989795918
1173748	1	0.4260056537692313
1174274	1	0.36829412691150465
117662	1	0.45634393038781185
1183316	1	0.39488454466837053
1186734	1	0.2641132880760233
1192364	1	0.3660469627272727
1199794	1	0.5511456472209305
1199916	1	0.17718769166666667
120600	1	0.5555680578486705
1208168	1	0.48545362775287376
1209910	1	0.45141529951456333
1210442	1	0.43603696707158346
1214140	0	
1214850	1	0.34583831797286807
1217488	1	0.44999519193559334
121950	1	0.43295249175466666
1222072	1	0.4132581971166131
1227630	1	0.5187671556542054
1231042	1	0.2827681124072579
1237338	1	0.4637524333333332
1241064	1	0.3677406831249999
1245026	1	0.5314303934594599
1253348	0	
1254992	1	0.19574297474358984
1255070	1	0.19570242251601405
1258394	1	0.20193085421583862
1258434	1	0.17586700686534854
1258612	1	0.21410262533522717
1258674	1	0.17860233055445554
1258722	1	0.4604119780789472
1259306	1	0.1964543973742137
1265890	1	0.4101398711681958
1266526	1	0.43811727552439017
1269024	1	0.39607061320790243
1272256	1	0.3048974050763497
1275936	1	0.571845887826087
1278936	1	0.2841810751321587
1279140	1	0.4505683484399999
1279268	1	0.3451469793659573
1280280	1	0.39254647906249984
1284952	1	0.24721259281481486
128544	1	0.5031172003125
1287854	1	0.37614727394487
1290466	1	0.3100993042721516
1292182	1	0.36667977931668855
1295932	1	0.4328741761198735
1296322	1	0.5226499133744977
1299614	1	0.5077213181142131
1302526	1	0.22742815678431363
1303550	1	0.6419388414130437
1305520	1	0.39428769035714273
1308482	1	0.47996312977417627
1309582	1	0.45097260872928197
1309904	1	0.19811167355555553
1311926	1	0.5682156013056897
1312698	1	0.5211726047569801
1315046	1	0.39615281469841274
1317082	1	0.45871978945454533
1317320	1	0.34543498481063833
1321586	0	
1323106	0	
1323892	1	0.7444873564705887
1324270	1	0.48575518578449006
1326766	0	
1327236	1	0.2601148648754209
1328588	1	0.34658441466877893
1329878	1	0.5227926318404909
1330228	1	0.47090378995921295
1332992	1	0.3766386787974683
1337550	1	0.3386094176410255
1340894	1	0.32881685226271173
1341612	1	0.2768467840666667
1341646	1	0.4194370319622641
1343832	1	0.4551273988111887
1344746	1	0.2716029905666667
1347644	1	0.3465167803309607
1348858	1	0.17764313986056068
1349678	0	
1349980	1	0.45735566560930724
1350060	1	0.26096838104013376
1350272	1	0.6061926745
135046	1	0.584044917075099
1351646	1	0.4570911232916669
1352554	0	
1356614	1	0.4865599697878502
1362338	1	0.39519742232880456
1365318	1	0.29524893132688373
1379586	1	0.24244722183743816
1379800	1	0.29881853565227273
1382426	0	
1382886	1	0.2574307404412418
1389870	1	0.41010619873958337
1394404	1	0.34980033068393795
1396806	1	0.4028660729521828
1400614	1	0.5370062383421049
1400948	0	
1402672	1	0.4600775294696967
1407308	1	0.5275622332137404
1407314	1	0.2652285586419753
140786	1	0.6344069226626828
1412368	1	0.3633233665007922
1415562	1	0.4932513985829959
1418155	1	0.5136865323376623
1420386	1	0.4073817747228915
1421014	1	0.48833830611111106
1424258	1	0.4209797838575668
1433442	1	0.2835095969117647
1434492	1	0.49294089348148123
1434926	1	0.35535461756249986
1436164	1	0.4223738702826858
1437038	1	0.4249995613513966
1437348	1	0.3559614546861831
1453209	1	0.48253069145241934
1453247	1	0.5688711875377434
1454566	1	0.3823796679891303
1454586	1	0.24166536905655517
1458490	1	0.6636009852706544
1467252	1	0.3741007347448978
1467960	1	0.383222792430678
1479488	1	0.46911059134238614
1483618	1	0.3611682585789963
1484379	1	0.4068584029869708
1488690	1	0.40104912250000024
148928	1	0.3331338596331165
1490852	1	0.4857060889117647
1496292	1	0.3880896594523098
1499090	0	
1503396	1	0.10349192463636364
1504608	0	
1508306	0	
1512764	1	0.6803988059868423
1514058	1	0.4389400631736523
1514204	1	0.3984138190439769
1514262	1	0.39758799096774206
1518060	1	0.23498748089926771
1518236	1	0.47892731679104455
1521136	1	0.25834898210795476
1523692	1	0.6080606058550899
1527124	1	0.3215628000507614
1529326	1	0.4392829095297809
153034	1	0.5717118162701398
1532040	1	0.4414751741707921
1532412	1	0.22812054806279067
1535970	1	0.466520233643264
1536066	1	0.4425080110173155
1537740	1	0.4344557993702767
1540380	1	0.46992709227987584
1541778	0	
1547484	0	
1550112	0	
1553136	1	0.43301759127192985
1553738	1	0.2171460997407408
1555326	1	0.3380195775941641
1560348	1	0.44364634214678894
1561606	1	0.3941256009080966
1578722	0	
1582266	1	0.29553493676691717
1586110	1	0.40770637476060234
1586500	1	0.6123439674337755
1594030	1	0.6504639285562624
1595276	1	0.6866257244927537
1596336	1	0.36953545991735504
1609596	0	
1612050	1	0.493444788034586
1612532	1	0.39855947367288413
1618404	1	0.27365881647721824
1624746	1	0.43414707062834235
1632674	1	0.2820597726623931
1639288	1	0.2628995100191206
1642638	1	0.5815857752717393
1642938	1	0.4828360325714285
